"","sciname","genus","species","family","order"
"2666","Artamus fuscus","Artamus","fuscus","Artamidae","Passeriformes"
"2667","Artamus personatus","Artamus","personatus","Artamidae","Passeriformes"
"2668","Phainoptila melanoxantha","Phainoptila","melanoxantha","Bombycillidae","Passeriformes"
"2669","Ptilogonys caudatus","Ptilogonys","caudatus","Bombycillidae","Passeriformes"
"2670","Bombycilla japonica","Bombycilla","japonica","Bombycillidae","Passeriformes"
"2671","Heteralocha acutirostris","Heteralocha","acutirostris","Callaeidae","Passeriformes"
"2672","Larus fuliginosus","Larus","fuliginosus","Laridae","Charadriiformes"
"2673","Butorides sundevalli","Butorides","sundevalli","Ardeidae","Ciconiiformes"
"2674","Coracina pectoralis","Coracina","pectoralis","Campephagidae","Passeriformes"
"2675","Hemiphaga novaeseelandiae","Hemiphaga","novaeseelandiae","Columbidae","Columbiformes"
"2676","Emeus exilis","Emeus","exilis","Dinornithidae","Dinornithiformes"
"2677","Circus (approximans?)","Circus","(approximans?)","Accipitridae","Falconiformes"
"2678","Coturnix (novaezelandiae?)","Coturnix","(novaezelandiae?)","Phasianidae","Galliformes"
"2679","Certhia brachydactyla","Certhia","brachydactyla","Certhiidae","Passeriformes"
"2680","Larus heermannii","Larus","heermannii","Laridae","Charadriiformes"
"2681","Xipholena punicea","Xipholena","punicea","Cotingidae","Passeriformes"
"2682","Oriolus chinensis","Oriolus","chinensis","Oriolidae","Passeriformes"
"2683","Ptiloris victoriae","Ptiloris","victoriae","Paradisaeidae","Passeriformes"
"2684","Onychoprion fuscata","Onychoprion","fuscata","Laridae","Charadriiformes"
"2685","Parotia carolae","Parotia","carolae","Paradisaeidae","Passeriformes"
"2686","Parotia lawesii","Parotia","lawesii","Paradisaeidae","Passeriformes"
"2687","Cicinnurus regius","Cicinnurus","regius","Paradisaeidae","Passeriformes"
"2688","Paradisaea rubra","Paradisaea","rubra","Paradisaeidae","Passeriformes"
"2689","Parus albiventris","Parus","albiventris","Paridae","Passeriformes"
"2690","Parus fringillinus","Parus","fringillinus","Paridae","Passeriformes"
"2691","Baeolophus bicolor","Baeolophus","bicolor","Paridae","Passeriformes"
"2692","Vermivora gutturalis","Vermivora","gutturalis","Parulidae","Passeriformes"
"2693","Vermivora luciae","Vermivora","luciae","Parulidae","Passeriformes"
"2694","Vermivora peregrina","Vermivora","peregrina","Parulidae","Passeriformes"
"2695","Vermivora pinus","Vermivora","pinus","Parulidae","Passeriformes"
"2696","Vermivora chrysoptera","Vermivora","chrysoptera","Parulidae","Passeriformes"
"2697","Setophaga ruticilla","Setophaga","ruticilla","Parulidae","Passeriformes"
"2698","Columba guinea","Columba","guinea","Columbidae","Columbiformes"
"2699","Seiurus noveboracensis","Seiurus","noveboracensis","Parulidae","Passeriformes"
"2700","Anas platalea","Anas","platalea","Anatidae","Anseriformes"
"2701","Seiurus aurocapilla","Seiurus","aurocapilla","Parulidae","Passeriformes"
"2702","Protonotaria citrea","Protonotaria","citrea","Parulidae","Passeriformes"
"2703","Parula americana","Parula","americana","Parulidae","Passeriformes"
"2704","Oporornis formosus","Oporornis","formosus","Parulidae","Passeriformes"
"2705","Oporornis philadelphia","Oporornis","philadelphia","Parulidae","Passeriformes"
"2706","Oporornis agilis","Oporornis","agilis","Parulidae","Passeriformes"
"2707","Myioborus torquatus","Myioborus","torquatus","Parulidae","Passeriformes"
"2708","Wilsonia canadensis","Wilsonia","canadensis","Parulidae","Passeriformes"
"2709","Wilsonia citrina","Wilsonia","citrina","Parulidae","Passeriformes"
"2710","Helmitheros vermivorum","Helmitheros","vermivorum","Parulidae","Passeriformes"
"2711","Ergaticus versicolor","Ergaticus","versicolor","Parulidae","Passeriformes"
"2712","Dendroica castanea","Dendroica","castanea","Parulidae","Passeriformes"
"2713","Dendroica cerulea","Dendroica","cerulea","Parulidae","Passeriformes"
"2714","Larus livens","Larus","livens","Laridae","Charadriiformes"
"2715","Dendroica fusca","Dendroica","fusca","Parulidae","Passeriformes"
"2716","Sternoclyta cyanopectus","Sternoclyta","cyanopectus","Trochilidae","Apodiformes"
"2717","Dendroica magnolia","Dendroica","magnolia","Parulidae","Passeriformes"
"2718","Dendroica nigrescens","Dendroica","nigrescens","Parulidae","Passeriformes"
"2719","Dendroica occidentalis","Dendroica","occidentalis","Parulidae","Passeriformes"
"2720","Leucopsar rothschildi","Leucopsar","rothschildi","Sturnidae","Passeriformes"
"2721","Dendroica pensylvanica","Dendroica","pensylvanica","Parulidae","Passeriformes"
"2722","Dendroica striata","Dendroica","striata","Parulidae","Passeriformes"
"2723","Dendroica tigrina","Dendroica","tigrina","Parulidae","Passeriformes"
"2724","Uraeginthus cyanocephalus","Uraeginthus","cyanocephalus","Estrildidae","Passeriformes"
"2725","Dendroica virens","Dendroica","virens","Parulidae","Passeriformes"
"2726","Conirostrum rufum","Conirostrum","rufum","Parulidae","Passeriformes"
"2727","Zeledonia coronata","Zeledonia","coronata","Parulidae","Passeriformes"
"2728","Basileuterus flaveolus","Basileuterus","flaveolus","Parulidae","Passeriformes"
"2729","Basileuterus hypoleucus","Basileuterus","hypoleucus","Parulidae","Passeriformes"
"2730","Basileuterus leucoblepharus","Basileuterus","leucoblepharus","Parulidae","Passeriformes"
"2731","Basileuterus nigrocristatus","Basileuterus","nigrocristatus","Parulidae","Passeriformes"
"2732","Philepitta castanea","Philepitta","castanea","Philepittidae","Passeriformes"
"2733","Phytotoma rara","Phytotoma","rara","Phytotomidae","Passeriformes"
"2734","Xenopipo atronitens","Xenopipo","atronitens","Pipridae","Passeriformes"
"2735","Tyranneutes stolzmanni","Tyranneutes","stolzmanni","Pipridae","Passeriformes"
"2736","Tyranneutes virescens","Tyranneutes","virescens","Pipridae","Passeriformes"
"2737","Sapayoa aenigma","Sapayoa","aenigma","Pipridae","Passeriformes"
"2738","Pipra nattereri","Pipra","nattereri","Pipridae","Passeriformes"
"2739","Pipra rubrocapilla","Pipra","rubrocapilla","Pipridae","Passeriformes"
"2740","Neopelma aurifrons","Neopelma","aurifrons","Pipridae","Passeriformes"
"2741","Neopelma pallescens","Neopelma","pallescens","Pipridae","Passeriformes"
"2742","Antilophia galeata","Antilophia","galeata","Pipridae","Passeriformes"
"2743","Ilicura militaris","Ilicura","militaris","Pipridae","Passeriformes"
"2744","Schiffornis virescens","Schiffornis","virescens","Pipridae","Passeriformes"
"2745","Heterocercus lineatus","Heterocercus","lineatus","Pipridae","Passeriformes"
"2746","Corapipo altera","Corapipo","altera","Pipridae","Passeriformes"
"2747","Chloropipo flavicapilla","Chloropipo","flavicapilla","Pipridae","Passeriformes"
"2748","Chiroxiphia lanceolata","Chiroxiphia","lanceolata","Pipridae","Passeriformes"
"2749","Chiroxiphia linearis","Chiroxiphia","linearis","Pipridae","Passeriformes"
"2750","Chiroxiphia caudata","Chiroxiphia","caudata","Pipridae","Passeriformes"
"2751","Manacus aurantiacus","Manacus","aurantiacus","Pipridae","Passeriformes"
"2752","Manacus candei","Manacus","candei","Pipridae","Passeriformes"
"2753","Pitta caerulea","Pitta","caerulea","Pittidae","Passeriformes"
"2754","Pitta erythrogaster","Pitta","erythrogaster","Pittidae","Passeriformes"
"2755","Pitta guajana","Pitta","guajana","Pittidae","Passeriformes"
"2756","Pitta moluccensis","Pitta","moluccensis","Pittidae","Passeriformes"
"2757","Passer eminibey","Passer","eminibey","Ploceidae","Passeriformes"
"2758","Pseudonigrita cabanisi","Pseudonigrita","cabanisi","Ploceidae","Passeriformes"
"2759","Ploceus castaneiceps","Ploceus","castaneiceps","Ploceidae","Passeriformes"
"2760","Ploceus alienus","Ploceus","alienus","Ploceidae","Passeriformes"
"2761","Ploceus aurantius","Ploceus","aurantius","Ploceidae","Passeriformes"
"2762","Ploceus bojeri","Ploceus","bojeri","Ploceidae","Passeriformes"
"2763","Ploceus castanops","Ploceus","castanops","Ploceidae","Passeriformes"
"2764","Ploceus heuglini","Ploceus","heuglini","Ploceidae","Passeriformes"
"2765","Ploceus jacksoni","Ploceus","jacksoni","Ploceidae","Passeriformes"
"2766","Ploceus spekei","Ploceus","spekei","Ploceidae","Passeriformes"
"2767","Ploceus superciliosus","Ploceus","superciliosus","Ploceidae","Passeriformes"
"2768","Ploceus weynsi","Ploceus","weynsi","Ploceidae","Passeriformes"
"2769","Ploceus xanthops","Ploceus","xanthops","Ploceidae","Passeriformes"
"2770","Plocepasser donaldsoni","Plocepasser","donaldsoni","Ploceidae","Passeriformes"
"2771","Plocepasser superciliosus","Plocepasser","superciliosus","Ploceidae","Passeriformes"
"2772","Petronia dentata","Petronia","dentata","Ploceidae","Passeriformes"
"2773","Petronia superciliaris","Petronia","superciliaris","Ploceidae","Passeriformes"
"2774","Quelea erythrops","Quelea","erythrops","Ploceidae","Passeriformes"
"2775","Malimbus nitens","Malimbus","nitens","Ploceidae","Passeriformes"
"2776","Histurgops ruficauda","Histurgops","ruficauda","Ploceidae","Passeriformes"
"2777","Euplectes diadematus","Euplectes","diadematus","Ploceidae","Passeriformes"
"2778","Euplectes jacksoni","Euplectes","jacksoni","Ploceidae","Passeriformes"
"2779","Euplectes nigroventris","Euplectes","nigroventris","Ploceidae","Passeriformes"
"2780","Euplectes progne","Euplectes","progne","Ploceidae","Passeriformes"
"2781","Anomalospiza imberbis","Anomalospiza","imberbis","Ploceidae","Passeriformes"
"2782","Vidua fischeri","Vidua","fischeri","Ploceidae","Passeriformes"
"2783","Vidua hypocherina","Vidua","hypocherina","Ploceidae","Passeriformes"
"2784","Vidua wilsoni","Vidua","wilsoni","Ploceidae","Passeriformes"
"2785","Vidua paradisaea","Vidua","paradisaea","Ploceidae","Passeriformes"
"2786","Vidua macroura","Vidua","macroura","Ploceidae","Passeriformes"
"2787","Foudia madagascariensis","Foudia","madagascariensis","Ploceidae","Passeriformes"
"2788","Nectarinia balfouri","Nectarinia","balfouri","Nectariniidae","Passeriformes"
"2789","Nectarinia batesi","Nectarinia","batesi","Nectariniidae","Passeriformes"
"2790","Nectarinia bouvieri","Nectarinia","bouvieri","Nectariniidae","Passeriformes"
"2791","Nectarinia calcostetha","Nectarinia","calcostetha","Nectariniidae","Passeriformes"
"2792","Nectarinia chalcomelas","Nectarinia","chalcomelas","Nectariniidae","Passeriformes"
"2793","Nectarinia coccinigastra","Nectarinia","coccinigastra","Nectariniidae","Passeriformes"
"2794","Nectarinia comorensis","Nectarinia","comorensis","Nectariniidae","Passeriformes"
"2795","Nectarinia erythrocerca","Nectarinia","erythrocerca","Nectariniidae","Passeriformes"
"2796","Nectarinia hartlaubi","Nectarinia","hartlaubi","Nectariniidae","Passeriformes"
"2797","Nectarinia newtonii","Nectarinia","newtonii","Nectariniidae","Passeriformes"
"2798","Nectarinia pembae","Nectarinia","pembae","Nectariniidae","Passeriformes"
"2799","Nectarinia sp","Nectarinia","sp","Nectariniidae","Passeriformes"
"2800","Nectarinia talatala","Nectarinia","talatala","Nectariniidae","Passeriformes"
"2801","Nectarinia thomensis","Nectarinia","thomensis","Nectariniidae","Passeriformes"
"2802","Nectarinia violacea","Nectarinia","violacea","Nectariniidae","Passeriformes"
"2803","Nectarinia purpureiventris","Nectarinia","purpureiventris","Nectariniidae","Passeriformes"
"2804","Anthreptes pallidigaster","Anthreptes","pallidigaster","Nectariniidae","Passeriformes"
"2805","Anthreptes anchietae","Anthreptes","anchietae","Nectariniidae","Passeriformes"
"2806","Anthreptes gabonicus","Anthreptes","gabonicus","Nectariniidae","Passeriformes"
"2807","Phyllastrephus cerviniventris","Phyllastrephus","cerviniventris","Pycnonotidae","Passeriformes"
"2808","Phyllastrephus hypochloris","Phyllastrephus","hypochloris","Pycnonotidae","Passeriformes"
"2809","Phyllastrephus strepitans","Phyllastrephus","strepitans","Pycnonotidae","Passeriformes"
"2810","Thescelocichla leucopleura","Thescelocichla","leucopleura","Pycnonotidae","Passeriformes"
"2811","Synthliboramphus craveri","Synthliboramphus","craveri","Alcidae","Charadriiformes"
"2812","Pycnonotus capensis","Pycnonotus","capensis","Pycnonotidae","Passeriformes"
"2813","Pycnonotus xanthopygos","Pycnonotus","xanthopygos","Pycnonotidae","Passeriformes"
"2814","Nicator chloris","Nicator","chloris","Pycnonotidae","Passeriformes"
"2815","Nicator gularis","Nicator","gularis","Pycnonotidae","Passeriformes"
"2816","Nicator vireo","Nicator","vireo","Pycnonotidae","Passeriformes"
"2817","Chlorocichla simplex","Chlorocichla","simplex","Pycnonotidae","Passeriformes"
"2818","Chlamydera cerviniventris","Chlamydera","cerviniventris","Ptilonorhynchidae","Passeriformes"
"2819","Anthoscopus sylviella","Anthoscopus","sylviella","Remizidae","Passeriformes"
"2820","Anthoscopus musculus","Anthoscopus","musculus","Remizidae","Passeriformes"
"2821","Merulaxis ater","Merulaxis","ater","Rhinocryptidae","Passeriformes"
"2822","Scytalopus indigoticus","Scytalopus","indigoticus","Rhinocryptidae","Passeriformes"
"2823","Scytalopus chocoensis","Scytalopus","chocoensis","Rhinocryptidae","Passeriformes"
"2824","Scytalopus speluncae","Scytalopus","speluncae","Rhinocryptidae","Passeriformes"
"2825","Scytalopus vicinior","Scytalopus","vicinior","Rhinocryptidae","Passeriformes"
"2826","Pteroptochos tarnii","Pteroptochos","tarnii","Rhinocryptidae","Passeriformes"
"2827","Psilorhamphus guttatus","Psilorhamphus","guttatus","Rhinocryptidae","Passeriformes"
"2828","Anas platyrhynchos","Anas","platyrhynchos","Anatidae","Anseriformes"
"2829","Onychognathus salvadorii","Onychognathus","salvadorii","Sturnidae","Passeriformes"
"2830","Poeoptera stuhlmanni","Poeoptera","stuhlmanni","Sturnidae","Passeriformes"
"2831","Saroglossa aurata","Saroglossa","aurata","Sturnidae","Passeriformes"
"2832","Saroglossa spiloptera","Saroglossa","spiloptera","Sturnidae","Passeriformes"
"2833","Speculipastor bicolor","Speculipastor","bicolor","Sturnidae","Passeriformes"
"2834","Spreo fischeri","Spreo","fischeri","Sturnidae","Passeriformes"
"2835","Spreo superbus","Spreo","superbus","Sturnidae","Passeriformes"
"2836","Sturnus nigricollis","Sturnus","nigricollis","Sturnidae","Passeriformes"
"2837","Sturnus pagodarum","Sturnus","pagodarum","Sturnidae","Passeriformes"
"2838","Sturnus roseus","Sturnus","roseus","Sturnidae","Passeriformes"
"2839","Lamprotornis purpureiceps","Lamprotornis","purpureiceps","Sturnidae","Passeriformes"
"2840","Lamprotornis caudatus","Lamprotornis","caudatus","Sturnidae","Passeriformes"
"2841","Creatophora cinerea","Creatophora","cinerea","Sturnidae","Passeriformes"
"2842","Cosmopsarus unicolor","Cosmopsarus","unicolor","Sturnidae","Passeriformes"
"2843","Cinnyricinclus sharpii","Cinnyricinclus","sharpii","Sturnidae","Passeriformes"
"2844","Aplonis cantoroides","Aplonis","cantoroides","Sturnidae","Passeriformes"
"2845","Acridotheres albocinctus","Acridotheres","albocinctus","Sturnidae","Passeriformes"
"2846","Acridotheres ginginianus","Acridotheres","ginginianus","Sturnidae","Passeriformes"
"2847","Thryomanes sissonii","Thryomanes","sissonii","Troglodytidae","Passeriformes"
"2848","Cistothorus apolinari","Cistothorus","apolinari","Troglodytidae","Passeriformes"
"2849","Pseudotriccus ruficeps","Pseudotriccus","ruficeps","Tyrannidae","Passeriformes"
"2850","Pogonotriccus eximius","Pogonotriccus","eximius","Tyrannidae","Passeriformes"
"2851","Poecilotriccus capitale","Poecilotriccus","capitale","Tyrannidae","Passeriformes"
"2852","Platyrinchus flavigularis","Platyrinchus","flavigularis","Tyrannidae","Passeriformes"
"2853","Platyrinchus leucoryphus","Platyrinchus","leucoryphus","Tyrannidae","Passeriformes"
"2854","Platyrinchus saturatus","Platyrinchus","saturatus","Tyrannidae","Passeriformes"
"2855","Pipromorpha rufiventris","Pipromorpha","rufiventris","Tyrannidae","Passeriformes"
"2856","Phylloscartes paulistus","Phylloscartes","paulistus","Tyrannidae","Passeriformes"
"2857","Phylloscartes oustaleti","Phylloscartes","oustaleti","Tyrannidae","Passeriformes"
"2858","Phaeotriccus poecilocercus","Phaeotriccus","poecilocercus","Tyrannidae","Passeriformes"
"2859","Serpophaga munda","Serpophaga","munda","Tyrannidae","Passeriformes"
"2860","Ochthornis littoralis","Ochthornis","littoralis","Tyrannidae","Passeriformes"
"2861","Nesotriccus ridgwayi","Nesotriccus","ridgwayi","Tyrannidae","Passeriformes"
"2862","Myiornis auricularis","Myiornis","auricularis","Tyrannidae","Passeriformes"
"2863","Oreotriccus griseocapillus","Oreotriccus","griseocapillus","Tyrannidae","Passeriformes"
"2864","Oreotriccus plumbeiceps","Oreotriccus","plumbeiceps","Tyrannidae","Passeriformes"
"2865","Todirostrum poliocephalum","Todirostrum","poliocephalum","Tyrannidae","Passeriformes"
"2866","Myiophobus cryptoxanthus","Myiophobus","cryptoxanthus","Tyrannidae","Passeriformes"
"2867","Xolmis cinerea","Xolmis","cinerea","Tyrannidae","Passeriformes"
"2868","Xolmis coronata","Xolmis","coronata","Tyrannidae","Passeriformes"
"2869","Xolmis murina","Xolmis","murina","Tyrannidae","Passeriformes"
"2870","Xolmis velata","Xolmis","velata","Tyrannidae","Passeriformes"
"2871","Tyrannus forficatus","Tyrannus","forficatus","Tyrannidae","Passeriformes"
"2872","Tyrannus tyrannus","Tyrannus","tyrannus","Tyrannidae","Passeriformes"
"2873","Ammoperdix heyi","Ammoperdix","heyi","Phasianidae","Galliformes"
"2874","Tyrannus albogularis","Tyrannus","albogularis","Tyrannidae","Passeriformes"
"2875","Tyrannopsis sulphurea","Tyrannopsis","sulphurea","Tyrannidae","Passeriformes"
"2876","Tyranniscus uropygialis","Tyranniscus","uropygialis","Tyrannidae","Passeriformes"
"2877","Vermivora virginiae","Vermivora","virginiae","Parulidae","Passeriformes"
"2878","Satrapa icterophrys","Satrapa","icterophrys","Tyrannidae","Passeriformes"
"2879","Zimmerius gracilipes","Zimmerius","gracilipes","Tyrannidae","Passeriformes"
"2880","Sayornis phoebe","Sayornis","phoebe","Tyrannidae","Passeriformes"
"2881","Rhytipterna immunda","Rhytipterna","immunda","Tyrannidae","Passeriformes"
"2882","Rhynchocyclus fulvipectus","Rhynchocyclus","fulvipectus","Tyrannidae","Passeriformes"
"2883","Ramphotrigon fuscicauda","Ramphotrigon","fuscicauda","Tyrannidae","Passeriformes"
"2884","Ramphotrigon ruficauda","Ramphotrigon","ruficauda","Tyrannidae","Passeriformes"
"2885","Entotriccus striaticeps","Entotriccus","striaticeps","Tyrannidae","Passeriformes"
"2886","Afrotis atra","Afrotis","atra","Otididae","Gruiformes"
"2887","Empidonax hammondii","Empidonax","hammondii","Tyrannidae","Passeriformes"
"2888","Empidonax flaviventris","Empidonax","flaviventris","Tyrannidae","Passeriformes"
"2889","Trichoglossus chlorolepidotus","Trichoglossus","chlorolepidotus","Loriidae","Psittaciformes"
"2890","Empidonax minimus","Empidonax","minimus","Tyrannidae","Passeriformes"
"2891","Empidonax oberholseri","Empidonax","oberholseri","Tyrannidae","Passeriformes"
"2892","Empidonax alnorum","Empidonax","alnorum","Tyrannidae","Passeriformes"
"2893","Empidonax atriceps","Empidonax","atriceps","Tyrannidae","Passeriformes"
"2894","Empidonax virescens","Empidonax","virescens","Tyrannidae","Passeriformes"
"2895","Chendytes lawi cf","Chendytes","lawi cf","Anatidae","Anseriformes"
"2896","Myiopagis flavivertex","Myiopagis","flavivertex","Tyrannidae","Passeriformes"
"2897","Gubernetes yetapa","Gubernetes","yetapa","Tyrannidae","Passeriformes"
"2898","Colopteryx galeatus","Colopteryx","galeatus","Tyrannidae","Passeriformes"
"2899","Elaenia mesoleuca","Elaenia","mesoleuca","Tyrannidae","Passeriformes"
"2900","Elaenia pallatangae","Elaenia","pallatangae","Tyrannidae","Passeriformes"
"2901","Elaenia parvirostris","Elaenia","parvirostris","Tyrannidae","Passeriformes"
"2902","Elaenia pelzelni","Elaenia","pelzelni","Tyrannidae","Passeriformes"
"2903","Elaenia ruficeps","Elaenia","ruficeps","Tyrannidae","Passeriformes"
"2904","Elaenia spectabilis","Elaenia","spectabilis","Tyrannidae","Passeriformes"
"2905","Casiornis fusca","Casiornis","fusca","Tyrannidae","Passeriformes"
"2906","Casiornis rufa","Casiornis","rufa","Tyrannidae","Passeriformes"
"2907","Casiornis rufus","Casiornis","rufus","Tyrannidae","Passeriformes"
"2908","Arundinicola leucocephala","Arundinicola","leucocephala","Tyrannidae","Passeriformes"
"2909","Anairetes fernandezianus","Anairetes","fernandezianus","Tyrannidae","Passeriformes"
"2910","Acrochordopus burmeisteri","Acrochordopus","burmeisteri","Tyrannidae","Passeriformes"
"2911","Myiodynastes bairdi","Myiodynastes","bairdi","Tyrannidae","Passeriformes"
"2912","Myiodynastes hemichrysus","Myiodynastes","hemichrysus","Tyrannidae","Passeriformes"
"2913","Myiodynastes bairdii","Myiodynastes","bairdii","Tyrannidae","Passeriformes"
"2914","Myiarchus panamensis","Myiarchus","panamensis","Tyrannidae","Passeriformes"
"2915","Myiarchus apicalis","Myiarchus","apicalis","Tyrannidae","Passeriformes"
"2916","Myiarchus magnirostris","Myiarchus","magnirostris","Tyrannidae","Passeriformes"
"2917","Contopus cooperi","Contopus","cooperi","Tyrannidae","Passeriformes"
"2918","Buteo sp","Buteo","sp","Accipitridae","Falconiformes"
"2919","Mecocerculus poecilocercus","Mecocerculus","poecilocercus","Tyrannidae","Passeriformes"
"2920","Leptotriccus sylviolus","Leptotriccus","sylviolus","Tyrannidae","Passeriformes"
"2921","Laniocera hypopyrrha","Laniocera","hypopyrrha","Tyrannidae","Passeriformes"
"2922","Knipolegus cabanisi","Knipolegus","cabanisi","Tyrannidae","Passeriformes"
"2923","Knipolegus cyanirostris","Knipolegus","cyanirostris","Tyrannidae","Passeriformes"
"2924","Knipolegus lophotes","Knipolegus","lophotes","Tyrannidae","Passeriformes"
"2925","Knipolegus nigerrimus","Knipolegus","nigerrimus","Tyrannidae","Passeriformes"
"2926","Idioptilon zosterops","Idioptilon","zosterops","Tyrannidae","Passeriformes"
"2927","Muscipipra vetula","Muscipipra","vetula","Tyrannidae","Passeriformes"
"2928","Calicalicus madagascariensis","Calicalicus","madagascariensis","Vangidae","Passeriformes"
"2929","Falculea palliata","Falculea","palliata","Vangidae","Passeriformes"
"2930","Hylophilus pectoralis","Hylophilus","pectoralis","Vireonidae","Passeriformes"
"2931","Hylophilus semibrunneus","Hylophilus","semibrunneus","Vireonidae","Passeriformes"
"2932","Ducula lacernulata","Ducula","lacernulata","Columbidae","Columbiformes"
"2933","Vireo flavifrons","Vireo","flavifrons","Vireonidae","Passeriformes"
"2934","Vireo philadelphicus","Vireo","philadelphicus","Vireonidae","Passeriformes"
"2935","Vireo vicinior","Vireo","vicinior","Vireonidae","Passeriformes"
"2936","Vireo carmioli","Vireo","carmioli","Vireonidae","Passeriformes"
"2937","Tryngites subruficollis","Tryngites","subruficollis","Scolopacidae","Charadriiformes"
"2938","Limnothlypis swainsonii","Limnothlypis","swainsonii","Parulidae","Passeriformes"
"2939","Empidonax sp","Empidonax","sp","Tyrannidae","Passeriformes"
"2940","Pyriglena leucoptera","Pyriglena","leucoptera","Formicariidae","Passeriformes"
"2941","Sakesphorus melanonotus","Sakesphorus","melanonotus","Formicariidae","Passeriformes"
"2942","Myrmeciza loricata","Myrmeciza","loricata","Formicariidae","Passeriformes"
"2943","Myrmeciza melanoceps","Myrmeciza","melanoceps","Formicariidae","Passeriformes"
"2944","Myrmeciza stictothorax","Myrmeciza","stictothorax","Formicariidae","Passeriformes"
"2945","Sipia berlepschi","Sipia","berlepschi","Formicariidae","Passeriformes"
"2946","Sipia rosenbergi","Sipia","rosenbergi","Formicariidae","Passeriformes"
"2947","Myrmotherula gularis","Myrmotherula","gularis","Formicariidae","Passeriformes"
"2948","Myrmotherula guttata","Myrmotherula","guttata","Formicariidae","Passeriformes"
"2949","Myrmotherula gutturalis","Myrmotherula","gutturalis","Formicariidae","Passeriformes"
"2950","Myrmotherula minor","Myrmotherula","minor","Formicariidae","Passeriformes"
"2951","Myrmotherula obscura","Myrmotherula","obscura","Formicariidae","Passeriformes"
"2952","Terenura maculata","Terenura","maculata","Formicariidae","Passeriformes"
"2953","Thamnophilus bridgesi","Thamnophilus","bridgesi","Formicariidae","Passeriformes"
"2954","Tyrannus couchii","Tyrannus","couchii","Tyrannidae","Passeriformes"
"2955","Thamnophilus torquatus","Thamnophilus","torquatus","Formicariidae","Passeriformes"
"2956","Formicivora serrana","Formicivora","serrana","Formicariidae","Passeriformes"
"2957","Biatas nigropectus","Biatas","nigropectus","Formicariidae","Passeriformes"
"2958","Cercomacra brasiliana","Cercomacra","brasiliana","Formicariidae","Passeriformes"
"2959","Cercomacra carbonaria","Cercomacra","carbonaria","Formicariidae","Passeriformes"
"2960","Cercomacra nigricans","Cercomacra","nigricans","Formicariidae","Passeriformes"
"2961","Chamaeza meruloides","Chamaeza","meruloides","Formicariidae","Passeriformes"
"2962","Drymophila ferruginea","Drymophila","ferruginea","Formicariidae","Passeriformes"
"2963","Drymophila genei","Drymophila","genei","Formicariidae","Passeriformes"
"2964","Drymophila malura","Drymophila","malura","Formicariidae","Passeriformes"
"2965","Drymophila ochropyga","Drymophila","ochropyga","Formicariidae","Passeriformes"
"2966","Drymophila squamata","Drymophila","squamata","Formicariidae","Passeriformes"
"2967","Megastictus margaritatus","Megastictus","margaritatus","Formicariidae","Passeriformes"
"2968","Mackenziaena leachii","Mackenziaena","leachii","Formicariidae","Passeriformes"
"2969","Mackenziaena severa","Mackenziaena","severa","Formicariidae","Passeriformes"
"2970","Dysithamnus stictothorax","Dysithamnus","stictothorax","Formicariidae","Passeriformes"
"2971","Dysithamnus xanthopterus","Dysithamnus","xanthopterus","Formicariidae","Passeriformes"
"2972","Petroica cucullata","Petroica","cucullata","Muscicapidae","Passeriformes"
"2973","Petroica goodenovii","Petroica","goodenovii","Muscicapidae","Passeriformes"
"2974","Petroica phoenicea","Petroica","phoenicea","Muscicapidae","Passeriformes"
"2975","Petroica rosea","Petroica","rosea","Muscicapidae","Passeriformes"
"2976","Phoenicurus carnifex","Phoenicurus","carnifex","Muscicapidae","Passeriformes"
"2977","Phoenicurus auroreus","Phoenicurus","auroreus","Muscicapidae","Passeriformes"
"2978","Phylloscopus budongoensis","Phylloscopus","budongoensis","Muscicapidae","Passeriformes"
"2979","Phylloscopus nitidus","Phylloscopus","nitidus","Muscicapidae","Passeriformes"
"2980","Phylloscopus sibilatrix","Phylloscopus","sibilatrix","Muscicapidae","Passeriformes"
"2981","Picathartes gymnocephalus","Picathartes","gymnocephalus","Muscicapidae","Passeriformes"
"2982","Pinarornis plumosus","Pinarornis","plumosus","Muscicapidae","Passeriformes"
"2983","Pitohui dichrous","Pitohui","dichrous","Muscicapidae","Passeriformes"
"2984","Patagioenas nigrirostris","Patagioenas","nigrirostris","Columbidae","Columbiformes"
"2985","Myioparus griseigularis","Myioparus","griseigularis","Muscicapidae","Passeriformes"
"2986","Microeca flavigaster","Microeca","flavigaster","Muscicapidae","Passeriformes"
"2987","Amazilia viridifrons","Amazilia","viridifrons","Trochilidae","Apodiformes"
"2988","Microeca leucophaea","Microeca","leucophaea","Muscicapidae","Passeriformes"
"2989","Himantopus melanurus","Himantopus","melanurus","Recurvirostridae","Charadriiformes"
"2990","Panyptila sanctihieronymi","Panyptila","sanctihieronymi","Apodidae","Apodiformes"
"2991","Euthlypis lachrymosa","Euthlypis","lachrymosa","Parulidae","Passeriformes"
"2992","Monarcha inflex","Monarcha","inflex","Muscicapidae","Passeriformes"
"2993","Monarcha leucotis","Monarcha","leucotis","Muscicapidae","Passeriformes"
"2994","Monarcha mencki","Monarcha","mencki","Muscicapidae","Passeriformes"
"2995","Monarcha trivirgata","Monarcha","trivirgata","Muscicapidae","Passeriformes"
"2996","Monticola angolensis","Monticola","angolensis","Muscicapidae","Passeriformes"
