transaction,n_specimen,recipient,date
16502,1,"Fujiu, Elaine  - City Terrace Elementary School; City Terrace Elementary School",2/18/2013
16507,36,"Cavarzere, Vagner M.Sc. - Yale University; Zyskowski, Kristof  - Yale University; Yale University - Division of Vertebrate Zoology - Peabody Museum of Natural History",2/27/2013
16517,40,"Schmitz, Lars  - Claremont McKenna, Pitzer and Scripps College; Claremont Colleges - W. M. Keck Science Center",3/15/2013
16546,23,"Bleiweiss, Robert  - Univeristy of Wisconsin - Madison; Halverson, Laura  - University of Wisconsin; University of Wisconsin, Madison - Zoological Museum",
16558,14,"Milensky, Chris  - Smithsonian Institution; Smithsonian Institution - National Museum of Natural History - Division of Birds; Greenberg, Russell  - Smithsonian Institution",
16562,20,"Schmitz, Lars  - Claremont McKenna, Pitzer and Scripps College; Claremont McKenna, Pitzer and Scripps College - W. M. Keck Science Department",6/21/2013
16589,2,"Sealy, Spencer  - American Museum of Natural History; Cracraft, Joel L.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
16629,9,"Cicero, Carla  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
16633,13,"Cicero, Carla  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
16722,27,"Hinshaw, Janet  - University of Michigan; University of Michigan - Department of Ecology and Evolutionary Biology - Museum of Zoology",5/5/2014
16721,6,"University of Connecticut - Department of Ecology and Evolutionary Biology; Block, Kali  - University of Connecticut; Hochgraf, Susan  - University of Connecticut",4/15/2014
16780,1,"Maley, James  - Occidental College; Occidental College - Moore Laboratory of Zoology",8/19/2014
16789,25,"Schmitz, Lars  - Claremont McKenna, Pitzer and Scripps College; The Claremont Colleges - WM Keck Science Center",9/26/2014
16800,17,"Schmitz, Lars  - Claremont McKenna, Pitzer and Scripps College; Claremont Colleges - The W.M. Keck Science Center",
16817,36,"Schmitz, Lars  - Claremont McKenna, Pitzer and Scripps College; The Claremont Colleges - Keck Science Center",
14911,2,"Hertel, Fritz  - California State University, Northridge; California State University, Northridge - College of Science and Mathematics - Department of Biology",
16135,2,"Hertel, Fritz  - California State University, Northridge; California State University, Northridge - College of Science and Mathematics - Department of Biology",
16488,2,"California State University, Northridge - College of Science and Mathematics - Department of Biology; Hertel, Fritz  - California State University, Northridge",
13960,1,"Barquez, Ruben  - Universidad de Tucuman; Bertelli, Sara  - Universidad de Tucuman; Universidad de Tucuman - Facultad de Ciencias Naturales e IML",
15934,115,"Kirschel, Alex  - University of California, Los Angeles; University of California, Los Angeles - Department of Ecology and Evolutionary Biology",
14827,5,"Haugland, Susan  - Mountains Restoration Trust; Mountains Restoration Trust",
15846,1,"Barrowclough, George F.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
16191,15,"Wallace, Gary D.  - Carlsbad Fish and Wildlife Office; Carlsbad Fish and Wildlife Office",
15993,53,"Kirschel, Alex  - University of California, Los Angeles; University of California, Los Angeles - Department of Ecology and Evolutionary Biology",
16089,123,"Benesh, Mariah  - University of Memphis; University of Memphis - Department of Biology",
16125,14,"Molina, Kathy C.  - University of California, Los Angeles; Drury, Jonathan P.  - University of California, Los Angeles; University of California, Los Angeles - Department of Ecology and Evolutionary Biology",
16211,10,"Friscia, Anthony  - University of California, Los Angeles; University of California, Los Angeles - Department of Integrative Biology and Physiology",
16748,44,"University of Wisconsin, Madison - Zoological Museum; Halverson, Laura  - University of Wisconsin; Bleiweiss, Robert  - Univeristy of Wisconsin - Madison",6/16/2014
16257,11,"University of Minnesota - Bell Museum of Natural History; Rodrigues, Tiago  - University of Minnesota; Zink, Robert  - University of Minnesota",
16259,1,"Wiley, Anne  - Smithsonian Institution; James, Helen  - Smithsonian Institution; Smithsonian Institution - National Museum of Natural History - Division of Birds",
16287,9,"Wiley, Anne  - Smithsonian Institution; James, Helen  - Smithsonian Institution; Smithsonian Institution - National Museum of Natural History - Division of Birds",
16335,12,"Los Angeles Audubon Society; Allen, Larry W.  - Los Angeles Audubon Society",2/24/2012
16614,9,"University of Wisconsin, Madison - Zoological Museum; Halverson, Laura  - University of Wisconsin; Bleiweiss, Robert  - Univeristy of Wisconsin - Madison",
14384,2,"Burtt, Jr., Edward H.  - Ohio Wesleyan University; Ohio Wesleyan University - Department of Zoology",
13299,12,"Brightsmith, Donald  - Duke University; Duke University - Department of Zoology",
14359,4,"Worthy, Trevor  - Museum of New Zealand Te Papa Tongarewa; Museum of New Zealand Te Papa Tongarewa - Department of Birds",
13402,31,Kurisu - Ibaraki Nature Museum; Ibaraki Nature Museum - Exhibition Department,
13400,4,"Rhodes University - Department of Zoology and Entomology; Craig, A. J.  - Rhodes University",
13804,1,"Black, Margaret  - John Downer Productions, Ltd.; John Downer Productions, Ltd.",
13791,22,"Schmitt, N. John",
13750,20,"Schmitt, N. John",
13697,29,"Schmitt, N. John",
13231,19,"Schuchmann, K. L.  - Museum Alexander Koenig; Bundgen, Ralf  - Museum Alexander Koenig; Museum Alexander Koenig",
13133,45,"Bundgen, Ralf  - Museum Alexander Koenig; Schuchmann, K. L.  - Museum Alexander Koenig; Museum Alexander Koenig",
14243,1,"Stahl, Peter W.  - Binghamton University; Binghamton University - Department of Anthropology",
6989,1,"Harsh, Jonas  - Caraeef Studio; Caraeef Studio",
13517,2,"Morrow, James  - Allan Hancock College; Allan Hancock College - Biology Department",
13246,2,"Morrow, James  - Allan Hancock College; Allan Hancock College - Biology Department",
12347,47,"Willoughby, Ernest J.  - Smithsonian Institution; Graves, Gary R.  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
10755,2,"Smithsonian Institution - Division of Birds - National Museum of Natural History; Graves, Gary R.  - Smithsonian Institution",
13077,1,"Olson, Storrs L.  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
9005,10,"Zusi, Richard L.  - Smithsonian Institution; Graves, Gary R.  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
11299,1,"Zusi, Richard L.  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
13456,10,"Kohlmetz, D. F.  - University of Alaska Museum; Winker, K.  - University of Alaska Museum; University of Alaska Museum - Ornithology Department",
6993,43,"Rancho Santiago Community College - Adult Learning Center; McIntosh, Bev  - Rancho Santiago Community College",
5899,59,"Edward Carson Beall & Associates; Aspby, Patt B.  - Edward Carson Beall & Associates",
5876,6,"Aspby, Patt B  - Edward Carson Beall & Associates; Aspby, Patt B.  - Edward Carson Beall & Associates; Edward Carson Beall & Associates",
13393,6,"Lecoq, Richard  - Director's Guild of America; Director's Guild of America",
13762,15,"Houk, Martha  - Bolton Hall Museum; Bolton Hall Museum - Little Landers Historical Society",
13387,16,"Uhlig, Sheri  - Duarte Historical Museum; Duarte Historical Museum; Heller, Claudia  - Duarte Historical Museum",
14370,2,"Unitt, Philip  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
14424,1,"Unitt, Philip  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
14536,15,"Unitt, Philip  - San Diego Natural History Museum; Arter, Susan  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
15618,12,"Velarde, Enriqueta  - San Diego Natural History Museum; Unitt, Philip  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
13875,13,"San Diego Natural History Museum - Department of Birds and Mammals; Unitt, Philip  - San Diego Natural History Museum",
12934,20,"San Diego Natural History Museum - Department of Birds and Mammals; Unitt, Philip  - San Diego Natural History Museum",
14168,6,"Feldman, Esther  - Community Conservancy International; Community Conservancy International",
14028,1,"Hebert, Chris  - Sony Pictures Imageworks; Sony Pictures Imageworks",
13831,1,"Hafner, John C.  - Occidental College; Occidental College - Moore Laboratory of Zoology",
14457,5,"Taylor, Sonja  - Denver Museum of Nature and Science; Alther, Bill  - Denver Museum of Nature and Science; Denver Museum of Nature and Science - Zoology Department",
14394,13,"Webster, J. Dan  - Hanover College; Hanover College - Biology Department",
12609,5,"Archbold Biological Station; Bowman, Reed  - Archbold Biological Station",
14459,1,"Jerison, Harry J.  - UCLA Neuropsychiatric Institute; UCLA Neuropsychiatric Institute - Department of Psychiatry and Biobehavioral Sciences",
13871,1,"Olson, Storrs L.  - Smithsonian Institution; Smithsonian Institution - Division of Birds",
11128,1,"Brooker, Marianne  - Calahan Elementary School; Calahan Elementary School",
12234,7,"Skinder, Carolyn  - Catalina Island Marine Institute; Catalina Island Marine Institute",
10004,1,"Claremont Colleges - Joint Sciences Dept.; Guthrie, Daniel A.  - Claremont Colleges",
9826,2,"Claremont Colleges - Joint Sciences Department; Guthrie, Daniel A.  - Claremont Colleges",
11340,1,"Guthrie, Daniel A.  - Claremont Colleges; Claremont Colleges - Joint Science Department",
12477,1,"Adelman, Sara  - Cornerstone Theatre Co.; Cornerstone Theatre Co. - C/O Theatre Director",
7959,10,"Kasson, Bruce  - H & W Film Works; H & W Film Works",
10109,6,"Syres, Alicia  - Heal The Bay; Heal The Bay",
13207,1,"Hkm Productions, Inc.; Vasan, Mala  - Hkm Productions, Inc.",
8052,1,"Jehl, J. R.  - Hubbs-Seaworld Research Institute; Hubbs-Seaworld Research Institute",
11059,0,Loan Cancelled,
11978,1,"Riska, Diane E.  - Long Beach Unified School District; Long Beach Unified School District - De Mille Middle School",
7114,1,"Hensley, Jeff  - Los Angeles County Fair; Los Angeles County Fair",
13185,1,"Paquette, Carol  - Mbc Applied Environmental Sciences; Mbc Applied Environmental Sciences",
11609,20,"Barbosa, Andrea  - Museo Nacional De Ciencias Naturales; Museo Nacional de Ciencias Naturales",
12988,37,"Schuchmann, K. L.  - Museum Alexander Keonig; Heynen, Iris  - Museum Alexander Keonig; Museum Alexander Keonig",
9954,13,"Thornby, Kirk  - Myron Black Photography; Myron Black Photography",
8352,1,"Ogden, John C.  - National Audubon Society; National Audubon Society - Condor Research Center",
11041,5,"Ingalis, Melanie  - National Audubon Society; National Audubon Society - Education Division/Los Angeles",
11951,2,"Winker, Kevin  - National Zooligical Park; National Zooligical Park - Conservation And Research Center",
11847,1,"Otis/Parsons Art Institute - Continuing Education Department; Waterston, Darren  - Otis/Parsons Art Institute",
11897,3,"Haldeman, Dick  - Quail Unlimited; Quail Unlimited - Mr. Richard Haldeman",
12507,6,"Meltzer, Phyllis  - Rancho Los Amigos Medical Center; Rancho Los Amigos Medical Center",
2236,4,"Robbins, Tom  - Robbins Design; Robbins Design",
7356,22,"Miller, Bruce M.  - San Antonio Zoological Gardens & Aquarium; San Antonio Zoological Gardens & Aquarium",
10335,1,"Pittman, Jim  - Subua, Inc.; Subua, Inc.",
12456,2,"Bourne, W.R.P.  - The Natural History Museum; The Natural History Museum - Bird Group; Walters, Michael P.  - The Natural History Museum",
12658,1,"Twentieth Century Fox Studios; Keenan, Doug  - Twentieth Century Fox Studios",
11894,4,"Petrula, Diane  - United States Fish And Wildlife Service; United States Fish And Wildlife Service",
11610,5,"Byrkjedal, Ingvar  - Universitet Av Bergen; Universitet Av Bergen - Museum Av Zoology",
7505,1,"Young, Manon  - Young, Marion, Santa Monica, Ca; Young, Marion, Santa Monica, Ca",
9743,26,"Van Den Elzen, Renate  - Zoologisches Forschungsinstitut Und Museum; Zoologisches Forschungsinstitut Und Museum - Alexander Koenig",
2226,1,"Yale University - Peabody Museum of Natural History; Hopson, Jim  - Yale University",
11718,7,"Farquhar, Craig  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
10692,20,"Barrowclough, George F.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
11846,7,"Dickerman, Robert W.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
9892,41,"Dickerman, Robert W.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
11091,86,"Keith, Stuart  - American Museum of Natural History; Jackson, H. D.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
11834,4,"Farquhar, Craig  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
9667,47,"Escalante, Patricia  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
8802,24,"Bleiweiss, Robert  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
11443,1,"Kiff, Lloyd F.  - Western Foundation of Vertebrate Zoology; Western Foundation of Vertebrate Zoology",
7130,10,"Kiff, Lloyd F.  - Western Foundation of Vertebrate Zoology; Western Foundation of Vertebrate Zoology",
9913,7,"Gardner, Dana  - Western Foundation of Vertebrate Zoology; Western Foundation of Vertebrate Zoology",
10581,8,"Stotz, Doug  - Field Museum of Natural History; Field Museum of Natural History",
9479,92,"Field Museum of Natural History; Craig, Adrian  - Field Museum of Natural History; Lanyon, Scott  - Field Museum of Natural History",
7946,180,"Fitzpatrick, John W.  - Field Museum of Natural History; Field Museum of Natural History",
7941,34,"Warter, Stuart  - California State University, Long Beach; California State University, Long Beach",
8171,3,"Crowe, Timothy  - American Museum of Natural History; American Museum of Natural History - Department of Entomology",
9460,15,"Olda, Nancy  - American Museum of Natural History; American Museum of Natural History - Department of Entomology; Anderson, Sydney  - American Museum of Natural History",
12496,11,"Mississippi State University - Dept. of Biological Sciences; Jackson, Jerome  - Mississippi State University",
13360,14,"Voelker, Gary  - University of Nevada; University of Nevada - Barrick Museum of Natural History",
13908,6,"Shugart, Gary  - University of Puget Sound; University of Puget Sound - Slater Museum of Natural History",
12616,6,"Rohwer, Seivert A.  - University of Washington; Veit, Richard R.  - University of Washington; University of Washington - Burke Museum",
13505,56,"Bleiweiss, Robert  - University of Wisconsin; University of Wisconsin - Zoological Museum",
13161,23,"Hertel, Fritz  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
13328,4,"University of California, Los Angeles - Department of Biology; Hertel, Fritz  - University of California, Los Angeles",
13887,4,"Hertel, Fritz  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
12380,8,"Spear, Larry B.  - Point Reyes Bird Observatory; Point Reyes Bird Observatory",
13033,1,"Pratt, Thane K.  - Bishop Museum; Kisinami, Carla H.  - Bishop Museum; Kishinami, Carla H.  - Bishop Museum; Bernice P. Bishop Museum - vertebrate Zoology",
11703,10,"Froelich, Laura  - University of Texas at Austin; University of Texas at Austin - Vertebrate Paleontology Laboratory",
13263,4,"Sweet, Paul  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
13177,29,"Cracraft, Joel L.  - American Museum of Natural History; Beresford, Pamela  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
12608,2,"Cracraft, Joel L.  - American Museum of Natural History; Beresford, Pamela  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
10723,6,"Schulenberg, Thomas S.  - Field Museum of Natural History; Field Museum of Natural History",
L.221,0,"Wyman, L. E.  - Los Angeles County Museum of History, Science and Art",
12669,57,"Forshaw, Joseph M.  - Australian Museum; Australian Museum - Division of Vertebrate Zoology - Department of Ornithology",
12074,1,"Zusi, Richard L.  - Smithsonian Institution; National Museum of Natural History - Smithsonian Institution - Division of Birds",
13290,14,"Allen, Larry W.  - Los Angeles Audubon Society; Los Angeles Audubon Society",
14125,14,"Allen, Larry W.  - Los Angeles Audubon Society; Los Angeles Audubon Society",
13601,14,"Allen, Larry W.  - Los Angeles Audubon Society; Los Angeles Audubon Society",
13849,14,"Allen, Larry W.  - Los Angeles Audubon Society; Los Angeles Audubon Society",
13644,2,"Johnson, Ned K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
13581,26,"Leonard, Jr., D L  - University of Florida; Steadman, D W  - University of Florida; University of Florida - Florida Museum of Natural History - Department of Natural Sciences",
7937,105,"Fitzpatrick, John W.  - Field Museum of Natural History; Field Museum of Natural History - Research and Collections - Department of Zoology",
13950,1,"Kronen, David  - Kronen Osteo; Kronen Osteo",
14090,1,"Horner, John R.  - Museum of the Rockies; Montana State University - Museum of the Rockies",
12093,9,"University of Wisconsin, Madison - Zoological Museum; Bleiweiss, Robert  - University of Wisconsin",
12807,2,"Louette, Michel  - Musee Royal de l'Afrique Centrale; Musee Royal de l'Afrique Centrale - Departement de Zoologie Africaine",
11572,1,,
7144,2,,
7868,9,,
10323,2,,
8704,1,,
8196,1,,
9500,10,,
9598,27,"Miller, Edward H.  - British Columbia Provincial Museum; British Columbia Provincial Museum - Collections Management Program",
9040,56,,
9901,2,,
10721,8,,
10722,12,,
11515,1,,
9119,2,,
10705,2,,
12344,21,"Alderfer, Jonathan K.  - Jonathan K. Alderfer",
6973,2,,
6405,1,,
8006,1,,
8067,7,,
10137,18,,
8855,82,,
8833,8,,
12199,33,"Alderfer, Jonathan K.  - Jonathan K. Alderfer",
8239,4,,
10652,9,,
11043,1,"Dick, James A.  - Royal Ontario Museum; Royal Ontario Museum - Department of Ornithology",
12751,4,,
11920,15,"Alderfer, Jonathan K.  - Jonathan K. Alderfer",
9958,10,,
9978,1,,
8206,4,,
9927,25,"Zusi, Richard L.  - Smithsonian Institution; Smithsonian Institution - National Museum of Natural History",
11663,1,"Morris, Pam  - West Coast Ensemble; West Coast Ensemble",
5969,4,Kennedy - Pacific Southwest Wildfowl Arts; Pacific Southwest Wildfowl Arts,
12632,2,"Morrow, James  - Allan Hancock College; Allan Hancock College - Biology Department",
11886,2,"Cruz-Uribe, Kathryn  - Northern Arizona University; Ruble, Ellen C.  - Northern Arizona University; Northern Arizona University - Department of Anthropology",
10094,4,"Meyers, Jay  - Northern Arizona University; Northern Arizona University - Department of Biological Sciences",
11240,1,"Stan Winston Studios; Lohff, Mark  - Stan Winston Studios",
11208,1,"Thompson, Lisa  - Under the Stars, Inc.; Under the Stars, Inc.",
12410,27,"Heller, Claudia  - Duarte Historical Museum; Duarte Historical Museum",
10788,2,"Augst, Sheri  - San Diego Zoo; San Diego Zoo - Department of Education",
11512,13,"Rea, Amadeo M.  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
12606,41,"Unitt, Philip  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
11490,41,"Rea, Amadeo M.  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
12014,6,"Unitt, Philip  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
11906,37,"Unitt, Philip  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
10804,27,"Unitt, Philip  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Birds and Mammals",
10602,12,"Holmgren, M. A.  - University of California, Santa Barbara; Ortega, C. P.  - University of California, Santa Barbara; University of California, Santa Barbara - Department of Biological Sciences",
2221,2,"Hardy, John  - Occidental College; Occidental College - Moore Laboratory of Zoology",
2231,38,"Occidental College - Moore Laboratory of Zoology; Hardy, John  - Occidental College",
12478,2,"Morrow, James  - Allan Hancock College; Allan Hancock College",
14441,5,"Jerison, Harry J.  - UCLA Neuropsychiatric Institute; UCLA Neuropsychiatric Institute - Department of Psychiatry And Biobehavioral Sciences",
9878,5,"Burtt, Jr., Edward B.  - Ohio Wesleyan University; Ohio Wesleyan University - Department of Biological Sciences",
8252,17,"Schram, Fred  - San Diego Natural History Museum; Chandler, Bob  - San Diego Natural History Museum; San Diego Natural History Museum - Department of Paleontology",
2235,17,"Arata, Andrew A.  - Tulane University; Tulane University - Department of Biology",
12381,48,"Graves, Gary R.  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
12749,11,"Rasmussen, Pamela C.  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
12422,16,"Winker, Kevin  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
12897,85,"Pascale, Jan  - Warner Brothers - Division of Times Warner; Warner Brothers - Division of Times Warner - Warner Entertainment Company",
11154,5,"Macadams, Lewis  - Friends of The Los Angeles River; Friends of The Los Angeles River",
10507,50,"Cicero, Carla  - University of California, Berkeley; Museum of Vertebrate Zoology",
8231,8,"Someren, Cunningham-Van  - National Museums of Kenya; National Museums of Kenya",
10996,9,"Provincial Museum of Alberta; MacGillivray, W. Bruce  - Provincial Museum of Alberta",
7451,2,"Chandler, R. M.  - San Diego Museum of Natural History; San Diego Natural History Museum",
9124,6,"Unitt, Philip  - San Diego Natural History Museum; Pitman, Robert L.  - San Diego Museum of Natural History; San Diego Natural History Museum",
9062,7,"Unit, Philip  - San Diego Museum of Natural History; Pitman, Robert L.  - San Diego Museum of Natural History; San Diego Natural History Museum",
12882,75,"Slater Museum of Natural History; Paulson, Dennis  - Slater Museum of Natural History",
11628,55,"University of Alaska - Fairbanks - Biology And Wildlife; Murphy, Edward C.  - University of Alaska, Fairbanks",
7843,14,"Rising, J. D.  - University of Toronto; Mackenzie, David  - University of Toronto; University of Toronto - Ramsay Wright Zoological Lab.",
9574,20,"Bleiweiss, Robert  - University of Wisconsin - Madison; University of Wisconsin - Madison - Zoological Museum",
12099,180,"Andersson, Staffan  - University of California - San Diego; University of California, San Diego - Department of Biology",
11913,7,"Iwen, Frank A.  - University of Wisconsin; University of Wisconsin - Department of Zoology",
8605,16,"Short, Lester L.  - American Museum of Natural History; American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology",
11861,2,"American Museum of Natural History - Division of Vertebrate Zoology - Department of Ornithology; Short, Jr., Lester L.  - American Museum of Natural History",
11804,1,"Hertel, Fritz  - University of California; University of California - Department of Biology",
9704,9,"Warheit, Kenneth I.  - University of California - Berkeley; University of California, Berkeley - Department of Paleontology",
12975,3,"Nagaoka, Lisa  - University of Washington; University of Washington - Department of Anthropology",
9684,1,"Weisberg, Ruth  - University of Southern California; University of Southern California - School of Fine Arts",
10001,1,"Weisberg, Ruth  - University of Southern California; University of Southern California - School of Fine Arts",
10236,1,"Quaranta, Lory  - University of California; University of California - Graduate School of Education",
11516,10,"Moritz, William  - California Institute of The Arts; Margolis, Janice  - California Institute of The Arts; California Institute of The Arts - School of Film/Video",
8083,18,"Johnson, James L.  - Department of Agriculture; Department of Agriculture - State of California",
10737,3,"Hardy, John William  - Florida Museum of Natural History; University of Florida - Florida Museum of Natural History",
9770,11,"University of California, Irvine - Department of Ecology and Evolution; Rubega - University of California - Irvine",
12115,6,"Honea, Loretta  - Fernback Museum of Natural History; Fernback Museum of Natural History",
9421,1,"Remsen, J. V.  - Louisiana State University; Louisiana State University - Museum of Zoology",
10391,123,"Atwood, Jon L.  - Manomet Bird Observatory; Manomet Bird Observatory",
10186,51,"Atwood, Jon L.  - Manomet Bird Observatory; Manomet Bird Observatory",
12350,60,"Hunt, Peter D.  - Dartmouth College; Dartmouth College - Department of Biological Sciences",
12425,59,"Hunt, Peter D.  - Dartmouth College; Dartmouth College - Department of Biological Sciences",
12184,5,"Zimmerman, Dale A.  - Western New Mexico University; Western New Mexico University - Department of Natural Sciences",
10499,22,"Zimmerman, Dale A.  - Western New Mexico University; Western New Mexico University - Department of Natural Sciences",
11492,30,"Zimmerman, Dale A.  - Western New Mexico University; Western New Mexico University - Department of Natural Sciences",
11828,33,"Zimmerman, Dale A.  - Western New Mexico University; Western New Mexico University - Department of Natural Sciences",
10995,8,"Zimmerman, Dale A.  - Western New Mexico University; Western New Mexico University - Department of Natural Sciences",
11962,2,"Zimmerman, Dale A.  - Western New Mexico University; Western New Mexico University - Department of Natural Sciences",
12290.2,8,"Zimmerman, Dale A.  - Western New Mexico University; Western New Mexico University - Department of Natural Sciences",
10651,1,"Western New Mexico University - Department of Natural Sciences; Zimmerman, Dale A.  - Western New Mexico University",
11791,13,"Dial, Benjamin E.  - Chapman University; Chapman University - Department of Biology",
10703,17,"Forshaw, Joseph M.  - Australian National Parks and Wildlife Service; Australian National Parks and Wildlife Service",
9851,4,"Forshaw, Joseph M.  - Australian National Parks and Wildlife Service; Australian National Parks and Wildlife Service",
8344,8,"Ovington, J. D.  - Australian National Parks and Wildlife Service; Australian National Parks and Wildlife Service",
10488,7,"Prescott, David R.C.  - University of Calgary; University of Calgary - Museum of Zoology",
11542,3,"Uyehara, Julie  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
8233,5,"Riska, Diane  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
8250,2,"Riska, Diane  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
8234,1,"Howell, Thomas R.  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
12193,1,"Hertel, Fritz  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
8772,2,"Howell, Thomas R.  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
9414,8,"University of California, Los Angeles - Department of Biology; Howell, Thomas R.  - University of California, Los Angeles",
8785,4,"Howell, Thomas R.  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
9706,49,"Collias, Nicholas E.  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
12795,7,"Hertel, Fritz  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
11095,2,"Obst, Bryan S.  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
9988,9,"University of California, Los Angeles - School of Medicine - Department of Physiology; Wenzel, Bernice  - University of California, Los Angeles",
7421,3,"Tony Duquette Studio; Duquette, Tony  - Tony Duquette Studio",
7455,2,"Duquette, Tony  - Tony Duquette Studio; Tony Duquette Studio",
10489,2,"Spear, Larry B.  - Point Reyes Bird Observatory; Point Reyes Bird Observatory",
10691,8,"Spear, Larry B.  - Point Reyes Bird Observatory; Point Reyes Bird Observatory",
11093,10,"Spear, Larry B.  - Point Reyes Bird Observatory; Point Reyes Bird Observatory",
7771,17,"San Diego Natural History Museum; Rea, Amadeo M.  - San Diego Natural History Museum",
7330,53,"Rea, Amadeo M.  - San Diego Natural History Museum; San Diego Natural History Museum",
9985,30,"Unitt, Philip  - San Diego Natural History Museum; San Diego Natural History Museum",
10789,6,"Ducatman, Stephen H.  - San Fernando Audubon Society; San Fernando Audubon Society",
8051,1,"Britton, P. L.  - British Museum of Natural History; British Museum of Natural History - Department of Ornithology",
8059,6,"Britton, P. L.  - British Museum of Natural History; British Museum of Natural History - Department of Ornithology",
11094,31,"University of New Mexico - Museum of Southwestern Biology; Dickerman, R.  - University of New Mexico, Albuquerque",
7023,2,"University of California, Los Angeles - Department of Zoology; Howell, Thomas  - University of California, Los Angeles",
11954,8,"Forshaw, Joseph M.  - Australian Museum; Australian Museum - Division of Vertebrate Zoology - Department of Ornithology",
11418,8,"Forshaw, Joseph M.  - Australian Museum; Australian Museum - Division of Vertebrate Zoology - Department of Ornithology",
9937,14,"Prigogine, A.  - Institut Royal des Sciences Naturelles de Belgique; Institut Royal des Sciences Naturelles de Belgique",
8493,3,"Prigogine, A.  - Institut Royal des Sciences Naturelles de Belgique; Institut Royal des Sciences Naturelles de Belgique",
7135,4,"National Museum of Natural History - Smithsonian Institution - Division of Birds; Olson, Storrs L.  - Smithsonian Institution",
7964,2,"Richardson, John  - Warner Brothers Production, Ltd.; Warner Brothers Production, Ltd. - Pinewood Studios",
12709,14,"Allen, Larry W.  - Los Angeles Audubon Society; Los Angeles Audubon Society",
11001,79,"Johnson, Ned K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
11444,88,"Johnson, Ned K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
2202,21,"Johnson, Ned K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
